text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
Every day I ask people if they’re happy. Found a fisherman dad. #icefishing #basspro #areyouhappy #happylife #wholesometiktok,1969-12-31 19:05:02,original sound,Are You Happy?,True,,56.0,56,46200,682,214700,201,[],"['icefishing', 'basspro', 'areyouhappy', 'happylife', 'wholesometiktok']"
Every day I ask people if they’re happy. Today I am in Washington DC. #areyouhappy,1969-12-31 19:05:03,original sound,Are You Happy?,True,,44.0,44,7030,20,58900,103,[],['areyouhappy']
Every day I ask people if they’re happy. #grandmas #grandmasoftiktok #areyouhappy #wholesometiktok,1969-12-31 19:05:04,original sound,Are You Happy?,True,,50.0,50,6127,46,51800,79,[],"['grandmas', 'grandmasoftiktok', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. Today I’m in New Orleans! #neworleans #louisiana #areyouhappy #wholesometiktok,1969-12-31 19:05:05,original sound,Are You Happy?,True,,54.0,54,74700,506,252300,455,[],"['neworleans', 'louisiana', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. Today I spoke to @dishrag. Music: @mayadelilahh #areyouhappy #wholesometiktok,1969-12-31 19:05:06,original sound,Are You Happy?,True,,52.0,52,4689,57,56000,76,"[""@dishrag"",""@mayadelilahh""]","['areyouhappy', 'wholesometiktok']"
Every day I ask someone if they’re happy. #bepositive #positivethoughts #areyouhappy #wholesometiktok,1969-12-31 19:05:07,original sound,Are You Happy?,True,,35.0,35,7844,29,64600,55,[],"['bepositive', 'positivethoughts', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. Today I went to a positive psychology conference. #pyschology #positive #areyouhappy #wholsometiktok,1969-12-31 19:05:08,original sound,Are You Happy?,True,,59.0,59,77800,363,390300,274,[],"['pyschology', 'positive', 'areyouhappy', 'wholsometiktok']"
Every day I ask people if they’re happy. On Valentine’s Day I was in DC!,1969-12-31 19:05:09,original sound,Are You Happy?,True,,28.0,28,14300,38,92300,79,[],[]
Every day I ask people if they’re happy.,1969-12-31 19:05:10,original sound,Are You Happy?,True,,20.0,0,7491,28,85800,107,[],[]
Every day I ask people if they are happy.,1969-12-31 19:05:11,original sound,Are You Happy?,True,,20.0,0,319700,969,1500000,599,[],[]
How I met the happiest person in the world. #utah #sandhollow #areyouhappy #happylife #wholesometiktok,1969-12-31 19:05:12,original sound,Are You Happy?,True,,54.0,54,90500,2424,501300,463,[],"['utah', 'sandhollow', 'areyouhappy', 'happylife', 'wholesometiktok']"
Every day I ask people if they’re happy. Found a French jazz singer. #jazz #singers #areyouhappy #happylife #wholesometiktok,1969-12-31 19:05:13,original sound,Are You Happy?,True,,24.0,24,19900,40,129200,89,[],"['jazz', 'singers', 'areyouhappy', 'happylife', 'wholesometiktok']"
Every day I ask people if they’re happy. Found a fisherman. #icefishing #basspro #areyouhappy #happylife #wholesometiktok,1969-12-31 19:05:14,original sound,Are You Happy?,True,,56.0,56,499800,6531,1700000,1556,[],"['icefishing', 'basspro', 'areyouhappy', 'happylife', 'wholesometiktok']"
Every day I ask people if they’re happy. #okc #choosehappy #areyouhappy #positive #grateful #hope,1969-12-31 19:05:15,original sound,Are You Happy?,True,,11.0,0,27400,311,193400,197,[],"['okc', 'choosehappy', 'areyouhappy', 'positive', 'grateful', 'hope']"
Every day I ask people if they’re happy. #documentary #areyouhappy #travelblog #traveldocumentary,1969-12-31 19:05:16,original sound,Are You Happy?,True,,14.0,14,16900,36,133200,54,[],"['documentary', 'areyouhappy', 'travelblog', 'traveldocumentary']"
Every day I ask people if they’re happy. #documentary #areyouhappy #travelblog #traveldocumentary,1969-12-31 19:05:17,original sound,Are You Happy?,True,,11.0,0,31400,27,210800,64,[],"['documentary', 'areyouhappy', 'travelblog', 'traveldocumentary']"
Every day I ask someone if they’re happy. #documentary #traveldocumentary #chasinghappiness,1969-12-31 19:05:18,original sound,Are You Happy?,True,,8.0,8,13800,41,138100,42,[],"['documentary', 'traveldocumentary', 'chasinghappiness']"
Every day I ask people if they’re happy. #documentary #traveldocumentary #travelblog,1969-12-31 19:05:19,original sound,Are You Happy?,True,,24.0,24,34700,416,236700,415,[],"['documentary', 'traveldocumentary', 'travelblog']"
Are you happy? Today I am in Atlanta! #atl #georgiacheck #areyouhappy #rollerblading #travelblog,1969-12-31 19:05:20,Bang Bang,Joe Cuba,False,Chef Vol. 2 (Original Soundtrack Album),60.0,39,38300,390,253100,223,[],"['atl', 'georgiacheck', 'areyouhappy', 'rollerblading', 'travelblog']"
Every day I ask people if they’re happy... Found a love story.,1969-12-31 19:05:21,original sound,Are You Happy?,True,,56.0,56,478100,4097,1200000,1253,[],[]
every day i ask people if they’re happy.,1969-12-31 19:05:22,original sound,Are You Happy?,True,,14.0,14,21400,48,144700,77,[],[]
Health is the most beautiful thing on Earth. #fyp #foryoupage #foryourpage,1969-12-31 19:05:23,original sound,Are You Happy?,True,,28.0,0,74800,357,392100,223,[],"['fyp', 'foryoupage', 'foryourpage']"
i met a man on top of a mountain,1969-12-31 19:05:24,original sound,Are You Happy?,True,,45.0,45,28100,156,160200,305,[],[]
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:25,original sound,Are You Happy?,True,,21.0,21,128700,454,565300,304,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
"are you happy, NY?",1969-12-31 19:05:26,original sound,Are You Happy?,True,,59.0,59,27900,226,201000,125,[],[]
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:27,original sound,Are You Happy?,True,,58.0,58,145500,3324,620400,410,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
part 2,1969-12-31 19:05:28,original sound,Are You Happy?,True,,58.0,58,2100000,59900,7500000,11100,[],[]
part 3,1969-12-31 19:05:29,original sound,Are You Happy?,True,,37.0,37,361800,3259,1700000,1451,[],[]
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:30,original sound,Are You Happy?,True,,9.0,9,54600,220,364600,197,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:31,original sound,Are You Happy?,True,,19.0,19,87000,797,487600,348,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:32,original sound,Are You Happy?,True,,10.0,10,33400,289,278500,130,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
Like for part 3. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:33,original sound,Are You Happy?,True,,31.0,31,39200,488,360900,223,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
like to see “the girl at the bus stop.” #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:34,original sound,Are You Happy?,True,,18.0,18,25800,92,292600,70,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:35,original sound,Are You Happy?,True,,12.0,12,40100,358,388000,191,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:36,original sound,Are You Happy?,True,,5.0,5,13800,428,215800,123,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
like for part 2. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:37,original sound,Are You Happy?,True,,9.0,9,101500,650,659300,231,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:38,original sound,Are You Happy?,True,,10.0,10,132200,998,695700,233,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #happy #smallgestures #trending #foryoupage #happiness #tiktok #love #inspiration #motivation #truth,1969-12-31 19:05:39,original sound,Are You Happy?,True,,21.0,21,17700,247,156300,69,[],"['advice', 'happy', 'smallgestures', 'trending', 'foryoupage', 'happiness', 'tiktok', 'love', 'inspiration', 'motivation', 'truth']"
every day i ask people if they’re happy. #advice #trending #smallgestures #fyp #foryoupage #happiness #happy #tiktok #love #inspiration #motivation,1969-12-31 19:05:40,original sound,Are You Happy?,True,,25.0,25,8120,208,72300,129,[],"['advice', 'trending', 'smallgestures', 'fyp', 'foryoupage', 'happiness', 'happy', 'tiktok', 'love', 'inspiration', 'motivation']"
